index|quem|o_que|quando|onde|por_que|como
533|vítimas em Rio Preto e Araçatuba (SP)|fraudes eletrônicas e clonagem de cartões|28 (sexta-feira)|cursos online para golpistas|explorou conhecimento técnico de programação para crimes|organização oferecia treinamento e ferramentas para fraudes digitais
534|||||||
535|vítimas de fraudes bancárias|clonagem de cartões e fraudes eletrônicas|dezembro de 2024 (início da operação)|plataforma online "Brasil Store"|explorou vulnerabilidades digitais e conhecimento técnico para crimes|organização oferecia cursos, suporte técnico e acesso a dados bancários clonados
534|clientes de cosméticos em Divinópolis|golpe em vendas de cosméticos, prejuízo estimado em R$300 mil|desde janeiro (com prazos vencendo em janeiro)|grupos de WhatsApp|explorou preços baixos atrativos e confiança em redes sociais|anunciava produtos a preços irrisórios (R$1) mas não realizava entregas
535|||||||
536|||||||
537|candidatos a concursos públicos|golpe de falsas inscrições no CNU 2025|março de 2025|redes sociais e sites falsos|explorou expectativa por concursos públicos e credibilidade do g1|páginas falsas simulavam site oficial e cobravam taxas de inscrição indevidas via PIX
538|||||||
539|usuários de WhatsApp e cartões de crédito em SP|clonagem de contas e fraudes com cartões, prejuízos de R$240 milhões|primeiro semestre de 2020 (durante pandemia)|redes sociais e aplicativos de mensagem|explorou aumento do uso de serviços digitais na pandemia|golpes incluíam links falsos, promoções enganosas e roubo de dados bancários
540|||||||
541|||||||
542|clientes de advogados em Juazeiro (BA)|golpe do falso advogado, prejuízo superior a R$100 mil|período recente (sem data específica)|ligações e aplicativos de mensagens|explorou expectativa por recebimentos judiciais e confiança em advogados|criminosos se passavam por advogados reais usando fotos roubadas e solicitavam pagamentos para liberar supostos valores
543|vítimas de empréstimos consignados|fraude com contas bancárias falsas, prejuízo de R$250 mil|data não especificada (durante operação Trampo)|banco digital|explorou vulnerabilidade em sistemas de abertura de contas|uso de identidades falsificadas para abrir contas e obter empréstimos consignados
544|motoristas alagoanos|golpe da CNH suspensa com falsas notificações|últimas semanas (sem data específica)|SMS e e-mails falsos|explorou preocupação com documentação veicular|envio de links para sites falsos solicitando pagamento de taxas inexistentes
545|||||||
546|vítimas de fraudes bancárias|operação contra escola de golpes digitais, 180 mil cartões clonados|dezembro de 2024|plataforma online "Brasil Store"|explorou demanda por métodos criminosos e vulnerabilidades digitais|oferecia cursos, dados bancários e ferramentas para fraudes
547|lanchonete em Paraíba do Sul (RJ)|golpe do Pix falso, prejuízo de R$436 (somatório)|26 de fevereiro (segunda-feira)|pedidos online e aplicativo de mensagens|explorou confiança em comprovantes digitais|envio de comprovantes falsos de Pix para obter produtos sem pagar
548|||||||
549|Idosos e trabalhadores rurais vítimas de golpe do falso aumento da aposentadoria  no Maranhão Foto: Reprodução/TV Mirante     Idosos e trabalhadores rurais vítimas de golpe do falso aumento da aposentadoria  no Maranhão Foto: Reprodução/TV Mirante               O Ministério Público está investigando casos de idosos  no Maranhão  que foram vítimas de golpistas que prometeram aumento na aposentadoria  mas  na verdade  faziam empréstimos para si mesmos em nome dos aposentados.       ✅ Clique aqui para seguir o canal do g1 Maranhão no WhatsApp      O idoso Davi de Jesus Sá  de 67 anos  é uma das vítimas. Ele está pagando um empréstimo de quase R$ 45 mil que ele afirma nunca ter pedido.      Mesmo sendo pouco  as dívidas que temos precisam ser pagas. Então  quero que esse dinheiro retorne para mim e para meus companheiros  declarou o aposentado.      De acordo com a Defensoria Pública do Estado  uma organização criminosa  liderada pela empresa Agility Cash  é responsável por aplicar golpes em aposentados  além de um grupo de trabalhadores rurais no Maranhão.           Como funciona o golpe      Os golpistas se passavam por funcionários da Agility Cash ou da Ebu Al Haje  sobrenome de um dos sócios. Eles entravam em contato com as vítimas por telefone e afirmavam que conseguiriam um valor extra no pagamento da aposentadoria  que seria feito pelo governo federal.       Para isso  os beneficiários deveriam fornecer alguns dados pessoais e se apresentar em um escritório no bairro Renascença  em São Luís  para saber mais informações. Porém  na verdade  os aposentados faziam empréstimos e os valores eram debitados diretamente na conta dos golpistas.       Para evitar suspeitas de desvio  os criminosos transferiam uma quantia mensal às vítimas. Os valores eram depositados no mesmo dia em que o benefício do INSS era creditado  dificultando que os idosos percebessem os descontos.                               MPMA investiga os casos de idosos que foram vítimas de golpistas              Depois de cerca de dois meses  esses pagamentos extras pararam e os benefícios diminuíam  confirmando que as vítimas haviam caído em um golpe.       Eles enganaram essas pessoas dizendo que iriam receber um benefício do governo federal. A pessoa achava que estava fazendo um cadastro na plataforma gov.br e  com a biometria facial  os golpistas estavam abrindo contas  usando os celulares deles e fazendo empréstimos bancários em instituições que não têm agência física no Maranhão  explicou o advogado Rafael Silva.       Nos extratos das vítimas  os valores descontados eram destinados a pelo menos sete bancos  variando entre pagamentos de empréstimos e solicitações de cartões de crédito consignados.       No caso do aposentado José Raimundo Barbosa  a renda de um salário mínimo caiu para menos de 500 reais  um prejuízo que ultrapassa os R$ 20 mil.      O dinheiro não está dando para comprar remédio  pagar um exame. A alimentação piorou e estou vivendo  às vezes  às custas dos meus filhos  relatou.            Aposentado José Raimundo foi uma das vítimas do golpe do falso aumento da aposentadoria Foto: Reprodução/TV Mirante     Aposentado José Raimundo foi uma das vítimas do golpe do falso aumento da aposentadoria Foto: Reprodução/TV Mirante            Valores desviados      Os casos foram denunciados ao Ministério Público e chegaram ao Grupo de Atuação Especial em Combate às Organizações Criminosas (GAECO) em 2024.       Pelo menos 20 processos judiciais contra a empresa Agility Cash estão em andamento  e R$ 763.079 77 teriam sido descontados das aposentadorias.       Segundo as vítimas  desde dezembro de 2024  elas não conseguem contato com a empresa ou seus representantes.        O g1 tentou obter informações junto à Agility Cash  mas não conseguiu contato. A suposta empresa também não se pronunciou até a atualização desta reportagem.|S|OUTROS CIBERCRIMES
550|empresários em cidades do interior paulista|golpe de boletos falsos para cobrança de taxas municipais|período recente (sem data específica)|e-mails fraudulentos|explorou obrigações fiscais e temor de multas|envio de mensagens falsas simulando notificações oficiais com links para pagamentos indevidos
551|||||||
552|||||||
553|||||||  
554|||||||
555|Greycielle|agredida, corte na testa, cortes nos pés|domingo (25)|Crato, Ceará|ciúmes|abordagem violenta, golpe de gargalo de garrafa
556|Tools For Humanity, Match Group (Tinder)|parceria para combater fraudes no Tinder usando World ID|quarta-feira (30)|Tinder, Japão|avanço da IA e necessidade de autenticidade online|escaneamento de íris, vinculação do World ID ao perfil do Tinder
557|consumidores, golpistas|fraudes por meio de links associados, comprometimento de dados pessoais e financeiros||redes sociais, e-commerce|falta de verificação de links, promoções falsas|uso de links de afiliados falsos, direcionamento para sites maliciosos
